"Issue Type","Issue Key","Summary","Preconditions","Action","Data","Expected Result","Priority","Labels","Component"
"Test","VCHR-001","[VCHR-001] Verify áp dụng thành công mã giảm số tiền cố định (VNĐ) khi đơn hàng đủ điều kiện tối thiểu","• Khách hàng đã đăng nhập tài khoản `cust_active_01@shopgo.vn`.
• Giỏ hàng có sản phẩm ""Áo thun Polo"" trị giá 350.000 VNĐ (phí ship 30.000 VNĐ). Đang ở trang Thanh toán.
• Hệ thống có mã `VCH50K` (giảm 50.000 VNĐ, đơn tối thiểu 200.000 VNĐ, HSD 2026-12-31).","1. Nhập mã `VCH50K` vào ô ""Mã giảm giá"".
  2. Nhấn nút ""Áp dụng"".","• Mã giảm giá: `VCH50K`
• Giá trị đơn hàng gốc: 350.000 VNĐ","• Hệ thống áp dụng thành công.
• Hiển thị dòng chiết khấu: ""-50.000 VNĐ"".
• Tổng tiền thanh toán đơn hàng cập nhật thành: 330.000 VNĐ (350.000 - 50.000 + 30.000 ship).","High","Rule#BR-01 Rule#BR-02 Rule#BR-04 Rule#BR-06 Viewpoint#VP-01 Module#VCHR Manual","VCHR"
"Test","VCHR-002","[VCHR-002] Verify áp dụng thành công mã giảm theo tỷ lệ phần trăm (%) khi mức giảm chưa chạm trần Max Cap","• Khách hàng đăng nhập tài khoản `cust_active_01@shopgo.vn`.
• Giỏ hàng có sản phẩm ""Quần Jeans Slimfit"" trị giá 400.000 VNĐ (phí ship 30.000 VNĐ).
• Hệ thống có mã `SALE10` (giảm 10%, Max Cap 100.000 VNĐ, đơn tối thiểu 300.000 VNĐ).","1. Nhập mã `SALE10` vào ô ""Mã giảm giá"" tại trang Thanh toán.
  2. Nhấn nút ""Áp dụng"".","• Mã giảm giá: `SALE10`
• Đơn hàng: 400.000 VNĐ (10% = 40.000 VNĐ < 100.000 VNĐ)","• Áp dụng thành công, hiển thị mức giảm: ""-40.000 VNĐ"".
• Tổng tiền thanh toán mới: 390.000 VNĐ (400.000 - 40.000 + 30.000 ship).","High","Rule#BR-01 Rule#BR-04 Rule#BR-11 Viewpoint#VP-01 Module#VCHR Automated","VCHR"
"Test","VCHR-003","[VCHR-003] Verify áp dụng thành công mã giảm theo tỷ lệ phần trăm (%) khi mức giảm chạm đúng mức trần Max Cap","• Khách hàng đăng nhập tài khoản `cust_active_01@shopgo.vn`.
• Giỏ hàng có đơn hàng trị giá 1.000.000 VNĐ (phí ship 30.000 VNĐ).
• Hệ thống có mã `SALE10` (giảm 10%, Max Cap 100.000 VNĐ, đơn tối thiểu 300.000 VNĐ).","1. Nhập mã `SALE10` vào ô ""Mã giảm giá"".
  2. Nhấn nút ""Áp dụng"".","• Mã giảm giá: `SALE10`
• Đơn hàng: 1.000.000 VNĐ (10% = 100.000 VNĐ = Max Cap)","• Hệ thống áp dụng thành công mức giảm trần: ""-100.000 VNĐ"".
• Tổng tiền thanh toán: 930.000 VNĐ.","High","Rule#BR-11 Viewpoint#VP-01 Module#VCHR Automated","VCHR"
"Test","VCHR-004","[VCHR-004] Verify hệ thống tự động hủy mã cũ và áp dụng mã mới thay thế khi nhập mã hợp lệ khác","• Khách hàng đang ở màn hình Thanh toán, đơn hàng 500.000 VNĐ.
• Đang áp dụng sẵn mã `VCH50K` (giảm 50.000 VNĐ, tổng tiền hiện tại 450.000 VNĐ).
• Hệ thống có mã `VCH100K` (giảm 100.000 VNĐ cho đơn từ 500.000 VNĐ).","1. Xóa mã `VCH50K` trong ô nhập, nhập mã `VCH100K`.
  2. Nhấn nút ""Áp dụng"".","• Mã cũ: `VCH50K`
• Mã mới: `VCH100K`","• Hệ thống hủy bỏ mã `VCH50K`, hiển thị thông báo đã áp dụng mã `VCH100K`.
• Số tiền giảm cập nhật thành: ""-100.000 VNĐ"".
• Tổng tiền thanh toán mới là: 400.000 VNĐ (không cộng dồn thành 150.000 VNĐ).","High","Rule#BR-09 Viewpoint#VP-01 Module#VCHR Automated","VCHR"
"Test","VCHR-005","[VCHR-005] Verify hoàn tất đặt hàng thành công sau khi áp dụng voucher hợp lệ","• Khách hàng đã áp mã `VCH50K` thành công trên đơn hàng 400.000 VNĐ.
• Chọn phương thức thanh toán ""COD"" (Thanh toán khi nhận hàng).","1. Kiểm tra lại thông tin tóm tắt đơn hàng.
  2. Nhấn nút ""Đặt hàng"".","• Đơn hàng: 400.000 VNĐ, Giảm giá: 50.000 VNĐ, Phí ship: 30.000 VNĐ.","• Đơn hàng được tạo thành công với tổng thanh toán 380.000 VNĐ.
• Mã giảm giá chuyển sang trạng thái đã sử dụng cho tài khoản này.","High","Rule#BR-04 Rule#BR-22 Viewpoint#VP-01 Module#VCHR Manual","VCHR"
"Test","VCHR-006","[VCHR-006] Validate hệ thống từ chối và báo lỗi khi nhập mã không tồn tại trong hệ thống","• Khách hàng ở màn hình Thanh toán, đơn hàng 300.000 VNĐ.","1. Nhập mã `NOSUCHCODE99` vào ô ""Mã giảm giá"".
  2. Nhấn nút ""Áp dụng"".","• Mã giảm giá: `NOSUCHCODE99`","• Hiển thị thông báo lỗi: ""Mã giảm giá không hợp lệ"".
• Giữ nguyên tổng tiền thanh toán gốc 300.000 VNĐ.","High","Rule#BR-05 Rule#BR-26 Viewpoint#VP-02 Module#VCHR Automated","VCHR"
"Test","VCHR-007","[VCHR-007] Validate hệ thống từ chối và báo lỗi khi nhập mã giảm giá đã hết hạn sử dụng","• Hệ thống có mã `EXPIRED2025` có ngày hết hạn là `2025-12-31`.
• Ngày hiện tại của hệ thống là `2026-09-16`.","1. Nhập mã `EXPIRED2025` vào ô mã giảm giá.
  2. Nhấn nút ""Áp dụng"".","• Mã giảm giá: `EXPIRED2025`","• Hiển thị thông báo lỗi: ""Mã giảm giá đã hết hạn sử dụng"".
• Không áp dụng chiết khấu vào đơn hàng.","High","Rule#BR-03 Rule#BR-05 Rule#BR-26 Viewpoint#VP-02 Module#VCHR Automated","VCHR"
"Test","VCHR-008","[VCHR-008] Validate hệ thống từ chối khi giá trị đơn hàng chưa đạt mức tối thiểu quy định","• Mã `MIN500K` yêu cầu giá trị đơn hàng tối thiểu 500.000 VNĐ.
• Khách hàng có giỏ hàng trị giá 450.000 VNĐ.","1. Nhập mã `MIN500K` vào ô mã giảm giá.
  2. Nhấn nút ""Áp dụng"".","• Đơn hàng: 450.000 VNĐ
• Mã giảm giá: `MIN500K`","• Hiển thị thông báo lỗi: ""Đơn hàng chưa đạt giá trị tối thiểu để áp dụng mã này"".
• Không giảm trừ tiền.","High","Rule#BR-02 Rule#BR-05 Rule#BR-26 Viewpoint#VP-02 Module#VCHR Automated","VCHR"
"Test","VCHR-009","[VCHR-009] Validate hệ thống từ chối khi khách hàng nhập lại mã đã từng sử dụng thành công trước đó","• Tài khoản `cust_used_01@shopgo.vn` đã từng đặt đơn hàng thành công với mã `WELCOME2026`.
• Khách hàng đang tạo đơn hàng mới trị giá 600.000 VNĐ.","1. Nhập mã `WELCOME2026` vào ô mã giảm giá.
  2. Nhấn nút ""Áp dụng"".","• User: `cust_used_01@shopgo.vn`
• Mã giảm giá: `WELCOME2026`","• Hiển thị thông báo lỗi: ""Bạn đã sử dụng mã giảm giá này rồi"".
• Không cho phép áp dụng lần 2.","High","Rule#BR-08 Rule#BR-26 Viewpoint#VP-02 Module#VCHR Automated","VCHR"
"Test","VCHR-010","[VCHR-010] Validate hệ thống cảnh báo khi người dùng bấm Áp dụng mà để trống ô nhập mã","• Khách hàng ở màn hình Thanh toán. Ô nhập ""Mã giảm giá"" đang để trống.","1. Để trống ô nhập mã giảm giá (chuỗi rỗng `""""`).
  2. Nhấn nút ""Áp dụng"".","• Input: `""""`","• Hiển thị thông báo ngay dưới ô nhập: ""Vui lòng nhập mã giảm giá"".
• Không gửi request xác thực rác lên server.","Medium","Rule#BR-26 Viewpoint#VP-02 Module#VCHR Automated","VCHR"
